y Effekt (kW);Fabrikat;Nr Anläggning Placering D/H I drift;Ber;2013 2014 2015 12mån 12mån Månad Tid Hindertid (tim);;;;;;;;;;;;;;
Hög Låg;;Benämning;  Ort Karta (m);MWh;MWh MWh MWh MWh  % MWh % AHT MS YNS  ÖYS PU Ö;;;;;;;;;;;;;
2300;Enercon;1776 Rätan-Digerberget 3;Rätan E17i 82/98 110224;5400;3139 4383 5448 5448 100 664 97 0;;;;;;;;;;;;;
2300;Enercon;1777 Rätan-Digerberget 4;Rätan E17f 82/98 110224;5400;3057 4475 5458 5458 100 679 97 0;;;;;;;;;;;;;
2300;Enercon;1778 Rätan-Digerberget 5;Rätan E17i 82/98 110224;5400;3376 4625 5736 5736 100 677 97 0;;;;;;;;;;;;;
* 2300;Siemens;1784 Fredriksdal 1;Fredriksdal E6h 101/100 130201;6200;3464 6667 7728 7728 98;4 991 92 5;;;;;;;;;;;;
* 2300;Siemens;1785 Fredriksdal 3;Fredriksdal E6h 101/100 130201;6200;3474 6505 7334 7334 98 948 93 1;;;;;;;;;;;;;
* 2300;Siemens;1786 Fredriksdal 4;Fredriksdal E6h 101/100 130201;6200;3279 6247 6906 6906 98;1 904 92 11;;;;;;;;;;;;
* 2300;Siemens;1787 Fredriksdal 5;Fredriksdal E6h 101/100 130201;6200;3273 6218 7186 7186 97;8 948 92 6;;;;;;;;;;;;
* 2300;Siemens;1788 Fredriksdal 6;Fredriksdal E6h 101/100 130201;6200;3455 6454 7267 7267 97;3 867 83 70;;;;;;;;;;;;
2300;Enercon;1813 Mårtensklack 1;Böle G13i 82/108 120109;6250;6741 5835 7752 7752 100 1190 96 0;;;;;;;;;;;;;
2300;Enercon;1814 Mårtensklack 2;Böle G13i 82/108 120118;6250;6253 5888 7634 7634 100 1170 94 0;;;;;;;;;;;;;
2300;Enercon;1815 Mårtensklack 3;Böle G13i 82/108 120119;6250;6373 5364 6669 6669 100 990 86 0;;;;;;;;;;;;;
2300;Enercon;1816 Mårtensklack 4;Böle G13i 82/108 120110;6250;6610 5931 7565 7565 100 1200 95 0;;;;;;;;;;;;;
2300;Siemens;1820 Trattberget VK01;Trattberg H20e 101/100 121110;6000;5868 8061 8061 100 1038 0;;;;;;;;;;;;;
2300;Siemens;1821 Trattberget VK02;Trattberg H20e 101/100 121110;6000;5268 7650 7650 100 974 0;;;;;;;;;;;;;
2300;Siemens;1822 Trattberget VK03;Trattberg H20e 101/100 121110;6000;6076 7589 7589 100 1034 0;;;;;;;;;;;;;
2300;Siemens;1823 Trattberget VK04;Trattberg H20e 101/100 121110;6000;6191 7323 7323 100 912 0;;;;;;;;;;;;;
2300;Siemens;1824 Trattberget VK05;Trattberg H20e 101/100 121110;6000;6149 7938 7938 100 1047 0;;;;;;;;;;;;;
2300;Siemens;1825 Trattberget VK06;Trattberg H20e 101/100 121110;6000;6333 8042 8042 100 1047 0;;;;;;;;;;;;;
2300;Siemens;1826 Trattberget VK07;Trattberg H20e 101/100 121110;6000;6419 8215 8215 100 1103 0;;;;;;;;;;;;;
2300;Siemens;1827 Trattberget VK08;Trattberg H20e 101/100 121110;6000;6339 8166 8166 100 1085 0;;;;;;;;;;;;;
2300;Siemens;1828 Trattberget VK09;Trattberg H20e 101/100 121110;6000;5275 7875 7875 100 996 0;;;;;;;;;;;;;
2300;Siemens;1829 Trattberget VK10;Trattberg H20e 101/100 121110;6000;6478 8329 8329 100 1093 0;;;;;;;;;;;;;
2300;Siemens;1830 Trattberget VK11;Trattberg H20e 101/100 121110;6000;6153 7906 7906 100 1034 0;;;;;;;;;;;;;
2300;Siemens;1831 Trattberget VK12;Trattberg H20e 101/100 121110;6000;5360 7354 7354 100 974 0;;;;;;;;;;;;;
2300;Siemens;1832 Trattberget VK13;Trattberg H20e 101/100 121110;6000;6044 7872 7872 100 896 0;;;;;;;;;;;;;
2300;Siemens;1833 Trattberget VK14;Trattberg H20e 101/100 121110;6000;5884 7925 7925 100 1027 0;;;;;;;;;;;;;
2300;Siemens;1834 Trattberget VK15;Trattberg H20e 101/100 121110;6000;5668 7876 7876 100 992 0;;;;;;;;;;;;;
2300;Siemens;1835 Trattberget VK16;Trattberg H20e 101/100 121110;6000;6037 7792 7792 100 1002 0;;;;;;;;;;;;;
2300;Siemens;1836 Trattberget VK17;Trattberg H20e 101/100 130110;6000;5427 7627 7627 100 974 0;;;;;;;;;;;;;
2300;Siemens;1837 Trattberget VK18;Trattberg H20e 101/100 121110;6000;5808 7875 7875 100 981 0;;;;;;;;;;;;;
2300;Siemens;1838 Trattberget VK19;Trattberg H20e 101/100 130110;6000;6095 8095 8095 100 984 0;;;;;;;;;;;;;
2300;Siemens;1839 Trattberget VK20;Trattberg H20e 101/100 130110;6000;5801 8041 8041 100 1025 0;;;;;;;;;;;;;
2300;Siemens;1840 Trattberget VK21;Trattberg H20e 101/100 130110;6000;6173 8017 8017 100 898 0;;;;;;;;;;;;;
2300;Siemens;1841 Trattberget VK22;Trattberg H20e 101/100 130110;6000;3144 7129 7129 100 924 0;;;;;;;;;;;;;
2300;Siemens;1842 Trattberget VK23;Trattberg H20e 101/100 130110;6000;6249 8149 8149 100 1023 0;;;;;;;;;;;;;
2300;Siemens;1843 Trattberget VK24;Trattberg H20e 101/100 130110;6000;5554 7544 7544 100 939 0;;;;;;;;;;;;;
2300;Siemens;1844 Trattberget VK25;Trattberg H20e 101/100 130110;6000;5819 7295 7295 100 846 0;;;;;;;;;;;;;
2300;Siemens;1845 Trattberget VK26;Trattberg H20e 101/100 130110;6000;6853 8295 8295 100 1046 0;;;;;;;;;;;;;
2300;Siemens;1846 Trattberget VK27;Trattberg H20e 101/100 130110;6000;5268 6945 6945 100 887 0;;;;;;;;;;;;;
2300;Siemens;1847 Trattberget VK28;Trattberg H20e 101/100 130110;6000;5336 6966 6966 100 815 0;;;;;;;;;;;;;
2300;Siemens;1848 Trattberget VK29;Trattberg H20e 101/100 130110;6000;5060 6513 6513 100 817 0;;;;;;;;;;;;;
2300;Siemens;1849 Trattberget VK30;Trattberg H20e 101/100 130110;6000;6230 7479 7479 100 882 0;;;;;;;;;;;;;
2300;Enercon;1885 Sälshög;Sälshög D2c 82/78 140513;6000;3540 7267 7267 97;8 762 82 91;;;;;;;;;;;;
2300;Siemens;1938 Töftedal 1;Ed B9h 101/100 110214;6279;3589 3589 100 936 0;;;;;;;;;;;;;
2300;Siemens;1939 Töftedal 2;Ed B9h 101/100 110214;6279;3993 3993 100 1043 0;;;;;;;;;;;;;
2300;Siemens;1940 Töftedal 3;Ed B9h 101/100 110228;6279;3822 3822 100 1038 0;;;;;;;;;;;;;
2300;Siemens;1941 Töftedal 4;Ed B9h 101/100 110228;6279;3844 3844 100 987 0;;;;;;;;;;;;;
2300;Siemens;1942 Töftedal 5;Ed B9h 101/100 110228;6279;3542 3542 100 977 0;;;;;;;;;;;;;
2300;Siemens;1943 Töftedal 6;Ed B9e 101/100 110228;6279;3782 3782 100 1005 0;;;;;;;;;;;;;
2300;Siemens;1944 Töftedal 7;Ed B9e 101/100 110318;6279;3636 3636 100 996 0;;;;;;;;;;;;;
2300;Siemens;1945 Töftedal 10;Ed B9e 101/100 110411;6279;3683 3683 100 1010 0;;;;;;;;;;;;;
2300;Siemens;1946 Töftedal 11;Ed B9e 101/100 110318;6279;3772 3772 100 1018 0;;;;;;;;;;;;;
2300;Siemens;1947 Töftedal 12;Ed B9e 101/100 110411;6279;3914 3914 100 1056 0;;;;;;;;;;;;;
2300;Enercon;1948 Ås 1;Dingle A8i 82/108 130501;5900;3340 3340 100 952 97 0;;;;;;;;;;;;;
2300;Enercon;1949 Ås 2;Dingle A8i 82/108 130501;5900;3496 3496 100 972 97 0;;;;;;;;;;;;;
2300;Enercon;1950 Ås 3;Dingle A8i 82/108 130501;5900;2941 2941 100 844 96 0;;;;;;;;;;;;;
2300;Enercon;1951 Ås 4;Dingle A8i 82/108 130501;5900;3580 3580 100 972 96 0;;;;;;;;;;;;;
2300;Enercon;1952 Ås 5;Dingle A8i 82/108 130501;5900;3530 3530 100 999 97 0;;;;;;;;;;;;;
2300;Enercon;1953 Ås 6;Dingle A8i 82/108 130501;5900;3786 3786 100 1027 95 0;;;;;;;;;;;;;
2300;Enercon;1954 Dingleskogen 1;Dingle B8g 82/108 130601;5900;3609 3609 100 974 96 0;;;;;;;;;;;;;
2300;Enercon;1955 Dingleskogen 2;Dingle B8g 82/108 121201;5900;3110 3110 100 862 92 0;;;;;;;;;;;;;
2300;Enercon;1956 Dingleskogen 3;Dingle B8g 82/108 121201;5900;2581 2581 100 727 92 0;;;;;;;;;;;;;
2300;Enercon;1957 Dingleskogen 4;Dingle B8g 82/108 130601;5900;3557 3557 100 966 93 0;;;;;;;;;;;;;
2300;Enercon;1958 Dingleskogen 5;Dingle B8g 82/108 130601;5900;2809 2809 100 790 95 0;;;;;;;;;;;;;
2300;Enercon;1959 Dingleskogen 6;Dingle B9a 82/108 130601;5900;2825 2825 100 778 93 0;;;;;;;;;;;;;
2300;Enercon;1960 Hällevadsholm 2;Dingle A9c 82/108 121029;5900;3521 3521 100 984 97 0;;;;;;;;;;;;;
2300;Enercon;1961 Hällevadsholm 3;Dingle A9f 82/108 121115;5900;3326 3326 100 936 97 0;;;;;;;;;;;;;
* 2400;Kenersys;1782 Erken 1;Kullsta J11g 109/95 130130;6400;4116 4589 4970 4970 90;6;;;;;;;;;;;;
* 2400;Kenersys;1783 Erken 2;Kullsta J11g 109/95 130206;6400;4358 5140 5325 5325 92;7;;;;;;;;;;;;
2500;Nordex;1023 Lundåkra 3;Landskrona C2g 90/80 081027;6900;5910 6223 6661 6661 97;9 1433 0;;;;;;;;;;;;
2500;Nordex;1024 Lundåkra 4;Landskrona C2g 90/80 081027;6900;6205 6401 7030 7030 96;2 964 0;;;;;;;;;;;;
2500;Kenersys;1384 TL Vind 1;Tråvad C8c 100/100 110131;6105;6301 6312 6624 6624 99;2;;;;;;;;;;;;
2500;Kenersys;1385 TL Vind 2;Tråvad C8c 100/100 110131;6105;5892 6395 6104 6104 96;5;;;;;;;;;;;;
2500;Kenersys;1386 TL Vind 3;Tråvad C8c 100/100 110131;6105;6351 6592 6870 6870 98;9;;;;;;;;;;;;
2500;Kenersys;1472 Näsudden III;Näsudden I5f 100/85 091215;7300;6254 5486 8490 8490 100 1319 0;;;;;;;;;;;;;
2500;Nordex;1473 Ryningsnäs; Ryn 100;Rynin G6a 90/100 081231;4000;3792 3654 3939 3939 80 356 52 330;;;;;;;;;;;;
2500;Nordex;1474 Ryningsnäs; Ryn 80;Ryning G5g 90/80 081231;3000;2372 2608 3374 3374 92;5 487 92 14;;;;;;;;;;;
2500;Nordex;1642 Bräntberget;Härnösand I17g 90/80 120301;6620;8462 328 8667 8667 93;9 1102 95 13;;;;;;;;;;;;
2500;Nordex;1643 Solumsklinten;Härnösand I17g 90/100 120301;6620;8830 367 9035 9035 96;6 1126 95 14;;;;;;;;;;;;
2500;Nordex;1922 Brattön 1;Hede B9b 90/100 100801;5864;3041 3041 100 795 100 0;;;;;;;;;;;;;
2500;Nordex;1923 Brattön 2;Hede B9b 90/100 100801;5864;3275 3275 100 882 100 0;;;;;;;;;;;;;
2500;Nordex;1924 Brattön 3;Hede B9b 90/100 100801;5864;3566 3566 100 731 100 0;;;;;;;;;;;;;
2500;Nordex;1925 Brattön 4;Hede B9b 90/100 100801;5864;2677 2677 100 763 100 0;;;;;;;;;;;;;
2500;Nordex;1926 Brattön 5;Hede B9b 90/100 100801;5864;3279 3279 100 793 100 0;;;;;;;;;;;;;
2500;Nordex;1927 Brattön 6;Hede B9b 90/100 100801;5864;4029 4029 100 1038 100 0;;;;;;;;;;;;;
2500;Nordex;1928 Hud 1;Huds Moar A9c 90/100 080529;6000;3620 3620 100 927 100 0;;;;;;;;;;;;;
2500;Nordex;1929 Hud 2;Huds Moar A9c 90/100 080529;6000;3607 3607 100 850 100 0;;;;;;;;;;;;;
2500;Nordex;1930 Hud 3;Huds Moar A9c 90/100 080529;6000;3906 3906 100 1018 100 0;;;;;;;;;;;;;
2500;Nordex;1931 Hud 4;Huds Moar A9c 90/100 080529;6000;3813 3813 100 1002 100 0;;;;;;;;;;;;;
2500;Nordex;1932 Hud 5;Huds Moar A9c 90/100 080529;6000;3352 3352 100 921 100 0;;;;;;;;;;;;;
2500;Nordex;1933 Hud 6;Huds Moar A9c 90/100 080529;6000;3429 3429 100 929 100 0;;;;;;;;;;;;;
3000;Vestas;763 Olsvenne 2;Näs I5f 90/80 021201;8000;7073 7963 9596 9596 97;1 1357 95 0;;;;;;;;;;;;
3000;Vestas;867 Holmsund 2;Holmsund K20e 90/80 070503;6000;7399 6820 7047 7047 97;2;;;;;;;;;;;;
3000;WinWind;1335 Uljabuouda VKV 1;Arjeplog H25e 90/80 091010;8000;4209 4209 100 977 0;;;;;;;;;;;;;
3000;WinWind;1336 Uljabuouda VKV 2;Arjeplog H25e 90/80 091010;8000;4076 4076 100 665 0;;;;;;;;;;;;;
3000;WinWind;1337 Uljabuouda VKV 3;Arjeplog H25e 90/80 091010;8000;3899 3899 100 943 0;;;;;;;;;;;;;
3000;WinWind;1338 Uljabuouda VKV 4;Arjeplog H25e 90/80 091010;8000;3598 3598 100 659 0;;;;;;;;;;;;;
3000;WinWind;1339 Uljabuouda VKV 5;Arjeplog H25b 90/80 091010;8000;3729 3729 100 955 0;;;;;;;;;;;;;
3000;WinWind;1340 Uljabuouda VKV 6;Arjeplog H25e 90/80 091010;8000;3887 3887 100 897 0;;;;;;;;;;;;;
3000;WinWind;1341 Uljabuouda VKV 7;Arjeplog H25e 90/80 091010;8000;4698 4698 100 1039 0;;;;;;;;;;;;;
3000;WinWind;1342 Uljabuouda VKV 8;Arjeplog H25e 90/80 091010;8000;4474 4474 100 903 0;;;;;;;;;;;;;
3000;WinWind;1343 Uljabuouda VKV 9;Arjeplog H25e 90/80 091010;8000;3766 3766 100 618 0;;;;;;;;;;;;;
3000;WinWind;1344 Uljabuouda VKV 10;Arjeplo H25f 90/80 091010;8000;3597 3597 100 772 0;;;;;;;;;;;;;
3000;Vestas;1492 Näsudden Väst 01;Näs I5f 90/90 111001;;8102 8214 9802 9802 95;7 1299 91 53;;;;;;;;;;;;
3000;Vestas;1493 Näsudden Väst 02;Näs I5f 90/90 111001;;7961 8275 8546 8546 98;;;;;;;;;;;;;
3000;Vestas;1494 Näsudden Väst 03;Näs I5f 90/90 111001;;7658 7963 8322 8322 96;8;;;;;;;;;;;;
3000;Vestas;1495 Näsudden Väst 04;Näs I5f 90/90 111001;;7702 8097 8490 8490 97;2;;;;;;;;;;;;
3000;Vestas;1496 Näsudden Väst 05;Näs I5f 90/90 111001;;7656 8178 8432 8432 98;1;;;;;;;;;;;;
3000;Vestas;1497 Näsudden Väst 06;Näs I5f 90/90 111001;;7584 8325 8424 8424 97;8;;;;;;;;;;;;
3000;Vestas;1498 Näsudden Väst 07;Näs I5f 90/90 111001;;6499 7953 7723 7723 97;4;;;;;;;;;;;;
3000;Vestas;1499 Näsudden Väst 08;Näs I5f 90/90 111001;;7283 7893 7617 7617 97;6;;;;;;;;;;;;
3000;Vestas;1500 Näsudden Väst 09;Näs I5f 90/90 111001;;7156 7567 7372 7372 96;6;;;;;;;;;;;;
3000;Vestas;1501 Näsudden Väst 10;Näs I5f 90/90 111001;;6895 7694 7499 7499 96;8;;;;;;;;;;;;
3000;Vestas;1502 Näsudden Väst 11;Näs I5f 90/90 111001;;7010 7874 8878 8878 96;8 1339 96 65;;;;;;;;;;;;
3000;Vestas;1503 Näsudden Väst 12;Näs I5f 90/90 111001;;7289 8116 7860 7860 97;7;;;;;;;;;;;;
3000;Vestas;1504 Stugyl 1;Näs I5f 90/90 110901;;8018 8631 9514 9514 92 708 49 387;;;;;;;;;;;;;
3000;Vestas;1505 Stugyl 2;Näs I5f 90/90 110901;;7946 8494 8939 8939 97;1;;;;;;;;;;;;
3000;Vestas;1506 Stugyl 3;Näs I5f 90/90 110901;;8104 8517 9024 9024 97;1;;;;;;;;;;;;
3000;Vestas;1507 Stugyl 4;Näs I5f 90/90 110901;;8407 8939 8753 8753 94;4;;;;;;;;;;;;
3000;Vestas;1508 Stugyl 5;Näs I5f 90/90 110901;;7550 9187 8859 8859 92;9;;;;;;;;;;;;
3000;Vestas;1509 Stugyl 6;Näs I5f 90/90 110901;;7539 8350 8090 8090 97;4;;;;;;;;;;;;
3000;Vestas;1510 Stugyl 7;Näs I5f 90/90 110901;;7489 8360 7852 7852 95;3;;;;;;;;;;;;
3000;Vestas;1511 Stugyl 8;Näs I5f 90/90 110901;;8013 8642 9993 9993 98;1 1406 96;;;;;;;;;;;;
3000;Vestas;1512 Stugyl 9;Näs I5f 90/90 110901;;8547 9153 8957 8957 97;9;;;;;;;;;;;;
3000;Siemens;1854 Mullberget 1;Rätan E17f 113/122 140401;9494;4332 9052 9052 93;1 1312 97 0;;;;;;;;;;;;
3000;Siemens;1855 Mullberget 2;Rätan E17f 113/122 140401;9494;4585 10386 10386 100 1492 99 0;;;;;;;;;;;;;
3000;Siemens;1856 Mullberget 3;Rätan E17f 113/122 140501;9494;4703 9916 9916 86;3 1632 99 0;;;;;;;;;;;;
3000;Siemens;1857 Mullberget 4;Rätan E17f 113/122 140501;9494;5073 10736 10736 100 1654 0;;;;;;;;;;;;;
3000;Siemens;1858 Mullberget 5;Rätan E17f 113/122 140501;9494;4901 11750 11750 100 1654 99 0;;;;;;;;;;;;;
3000;Siemens;1859 Mullberget 6;Rätan E17f 113/122 140501;9494;4469 11754 11754 100 1603 99 0;;;;;;;;;;;;;
3000;Siemens;1860 Mullberget 7;Rätan E17f 113/122 140501;9494;3840 11058 11058 100 1491 99 0;;;;;;;;;;;;;
3000;Siemens;1861 Mullberget 8;Rätan E17f 113/122 140501;9494;4483 11554 11554 96;5 1619 99 0;;;;;;;;;;;;
3000;Siemens;1862 Mullberget 9;Rätan E17f 113/122 140501;9494;4610 12074 12074 100 1601 99 0;;;;;;;;;;;;;
3000;Siemens;1863 Mullberget 10;Rätan E17f 113/122 140501;9494;3613 10905 10905 98;8 1542 99 0;;;;;;;;;;;;
3000;Siemens;1864 Mullberget 11;Rätan E17f 113/122 140501;9494;3688 10714 10714 99 1519 99 0;;;;;;;;;;;;;
3000;Siemens;1865 Mullberget 12;Rätan E17f 113/122 140401;9494;4380 10711 10711 100 1444 99 0;;;;;;;;;;;;;
3000;Siemens;1866 Mullberget 13;Rätan E17f 113/122 140401;9494;5500 11279 11279 100 1515 99 0;;;;;;;;;;;;;
3000;Siemens;1867 Mullberget 14;Rätan E17f 113/122 140401;9494;5379 10746 10746 95;4 1491 98 0;;;;;;;;;;;;
3000;Siemens;1868 Mullberget 15;Rätan E17f 113/122 140401;9494;4492 9949 9949 97;3 1430 99 0;;;;;;;;;;;;
3000;Siemens;1869 Mullberget 16;Rätan E17f 113/122 140501;9494;4542 8772 8772 86;5 1313 97 0;;;;;;;;;;;;
3000;Siemens;1870 Mullberget 17;Rätan E17f 113/122 140501;9494;3677 10040 10040 100 1336 99 0;;;;;;;;;;;;;
3000;Siemens;1871 Mullberget 18;Rätan E17f 113/122 140401;9494;4352 10434 10434 94;8 1403 99 0;;;;;;;;;;;;
3000;Siemens;1872 Mullberget 19;Rätan E17f 113/122 140401;9494;4582 9983 9983 92;3 1289 99 0;;;;;;;;;;;;
3000;Siemens;1873 Mullberget 20;Rätan E17f 113/122 140401;9494;4597 10100 10100 97;7 1374 99 0;;;;;;;;;;;;
3000;Siemens;1874 Mullberget 21;Rätan E17f 113/122 140401;9494;4901 9984 9984 98;8 1344 98 0;;;;;;;;;;;;
3000;Siemens;1875 Mullberget 22;Rätan E17f 113/122 140401;9494;5295 10647 10647 100 1369 97 0;;;;;;;;;;;;;
3000;Siemens;1876 Mullberget 23;Rätan E17f 113/122 140401;9494;4838 9880 9880 100 1362 99 0;;;;;;;;;;;;;
3000;Siemens;1877 Mullberget 24;Rätan E17f 113/122 140501;9494;4399 10783 10783 100 1426 99 0;;;;;;;;;;;;;
3000;Siemens;1878 Mullberget 25;Rätan E17f 113/122 140501;9494;819 9902 9902 98;2 1281 99 0;;;;;;;;;;;;
3000;Siemens;1879 Mullberget 26;Rätan E17f 113/122 140401;9494;4808 7400 7400 98;8;;;;;;;;;;;;
3000;Siemens;2024 Hjuleberg A01;Sjönevad C5d 113/92 131101;8167;4728 4728 100 1217 0;;;;;;;;;;;;;
3000;Siemens;2025 Hjuleberg A02;Sjönevad C5d 113/92 131101;8167;4237 4237 100 1144 0;;;;;;;;;;;;;
3000;Siemens;2026 Hjuleberg A03;Sjönevad C5d 113/92 131101;8167;4042 4042 100 1106 0;;;;;;;;;;;;;
3000;Siemens;2027 Hjuleberg A04;Sjönevad C5d 113/92 131101;8167;4525 4525 100 1139 0;;;;;;;;;;;;;
3000;Siemens;2028 Hjuleberg A05;Sjönevad C5d 113/92 140301;8167;3076 3076 100 792 0;;;;;;;;;;;;;
3000;Siemens;2029 Hjuleberg A06;Sjönevad C5d 113/92 140301;8167;3307 3307 100 805 0;;;;;;;;;;;;;
3000;Siemens;2030 Hjuleberg B01;Sjönevad C5d 113/92 140301;8167;2967 2967 100 815 0;;;;;;;;;;;;;
3000;Siemens;2031 Hjuleberg B02;Sjönevad C5d 113/92 140301;8167;3585 3585 100 918 0;;;;;;;;;;;;;
3000;Siemens;2032 Hjuleberg B03;Sjönevad C5d 113/92 140301;8167;3251 3251 100 883 0;;;;;;;;;;;;;
3000;Siemens;2033 Hjuleberg B04;Sjönevad C5d 113/92 140301;8167;2872 2872 100 864 0;;;;;;;;;;;;;
3000;Siemens;2034 Hjuleberg B05;Sjönevad C5d 113/92 140301;8167;2765 2765 100 735 0;;;;;;;;;;;;;
3000;Siemens;2035 Hjuleberg B06;Sjönevad C5d 113/92 140301;8167;3885 3885 100 1197 0;;;;;;;;;;;;;
3050;Enercon;1779 Middagsberget Verk 1;Skål E17g 101/99 120922;8300;3009 4954 9859 9859 100 1279 98 0;;;;;;;;;;;;;
3050;Enercon;1780 Middagsberget Verk 2;Skål E17g 101/99 120906;8300;3175 6359 8526 8526 100 1042 90 0;;;;;;;;;;;;;
3050;Enercon;1781 Middagsberget Verk 3;Skål E17g 101/99 120914;8300;1527 5918 7644 7644 100 998 92 0;;;;;;;;;;;;;
3075;Vestas;1795 Villköl VKA A01;Orrefors F5c 112/119 121108;7970;2061 7571 9809 9809 99;4 1319 95 12;;;;;;;;;;;;
3075;Vestas;1796 Villköl VKA A02;Orrefors F5c 112/119 121108;7970;2111 7782 10114 10114 99 1335 94 15;;;;;;;;;;;;;
3075;Vestas;1797 Villköl VKA A03;Orrefors F5c 112/119 121108;7970;2036 7673 9717 9717 97;9 1321 96 7;;;;;;;;;;;;
3075;Vestas;1798 Villköl VKA A04;Orrefors F5c 112/119 121108;7970;2048 7507 10053 10053 98;7 1335 96 6;;;;;;;;;;;;
3075;Vestas;1799 Villköl VKA A05;Orrefors F5c 112/119 121108;7970;2132 7540 9948 9948 98;8 1280 92 33;;;;;;;;;;;;
3075;Vestas;1800 Villköl VKA A06;Orrefors F5c 112/119 121108;7970;2222 7938 10536 10536 99;1 1395 96 4;;;;;;;;;;;;
3075;Vestas;1801 Villköl VKA A07;Orrefors F5c 112/119 121108;7970;2174 7498 10258 10258 98;7 1344 95 16;;;;;;;;;;;;
3075;Vestas;1802 Örken ORA A01;Fröslida C5c 112/94 121101;7205;1110 8458 9547 9547 99 1261 97 6;;;;;;;;;;;;;
3075;Vestas;1803 Örken ORA A02;Fröslida C5c 112/94 121101;7205;983 9541 10299 10299 98;4 1373 97 5;;;;;;;;;;;;
3075;Vestas;1804 Örken ORA A03;Fröslida C5c 112/94 121114;7205;1167 8484 9019 9019 98;7 1248 96 7;;;;;;;;;;;;
3075;Vestas;1805 Örken ORA B01;Oskarströ C5c 112/94 121117;7205;1204 8709 9777 9777 98;1 1313 96 5;;;;;;;;;;;;
3075;Vestas;1806 Örken ORA B02;Oskarströ C5c 112/94 121129;7205;1153 8573 9313 9313 99;2 1234 96 6;;;;;;;;;;;;
3075;Vestas;1807 Örken ORA B03;Oskarströ C5c 112/94 121031;7205;860 7416 8183 8183 98;5 1076 95 15;;;;;;;;;;;;
3075;Vestas;1888 Kårehamn 1;Kårehamn H5e 112/80 130807;11000;1572 8718 8718 99 1651 97 2;;;;;;;;;;;;;
3075;Vestas;1889 Kårehamn 2;Kårehamn H5e 112/80 130807;11000;1572 8599 8599 99;2 1637 97 0;;;;;;;;;;;;
3075;Vestas;1890 Kårehamn 3;Kårehamn H5e 112/80 130807;11000;1572 8475 8475 98;5 1631 97 0;;;;;;;;;;;;
3075;Vestas;1891 Kårehamn 4;Kårehamn H5e 112/80 130807;11000;4913 12119 8497 8497 98;8 1640 97 0;;;;;;;;;;;;
3075;Vestas;1892 Kårehamn 5;Kårehamn H5e 112/80 130807;11000;4913 12119 8580 8580 99 1611 95 8;;;;;;;;;;;;;
3075;Vestas;1893 Kårehamn 6;Kårehamn H5e 112/80 130807;11000;4913 12119 8534 8534 99;1 1619 94 8;;;;;;;;;;;;
3075;Vestas;1894 Kårehamn 7;Kårehamn H5e 112/80 130807;11000;4913 12119 8628 8628 99;3 1646 97 2;;;;;;;;;;;;
3075;Vestas;1895 Kårehamn 8;Kårehamn H5e 112/80 130807;11000;4913 12119 8689 8689 99;5 1645 97 1;;;;;;;;;;;;
3075;Vestas;1896 Kårehamn 9;Kårehamn H5e 112/80 130807;11000;4913 12119 8641 8641 99;2 1635 97 1;;;;;;;;;;;;
3075;Vestas;1897 Kårehamn 10;Kårehamn H5e 112/80 130807;11000;4913 12119 8647 8647 99;6 1632 97 0;;;;;;;;;;;;
3075;Vestas;1898 Kårehamn 11;Kårehamn H5e 112/80 130807;11000;4913 12119 8684 8684 99;4 1635 97 3;;;;;;;;;;;;
3075;Vestas;1899 Kårehamn 12;Kårehamn H5e 112/80 130807;11000;4913 12119 8739 8739 99;5 1640 97 5;;;;;;;;;;;;
3075;Vestas;1900 Kårehamn 13;Kårehamn H5e 112/80 130807;11000;4913 12119 8614 8614 99 1609 96 13;;;;;;;;;;;;;
3075;Vestas;1901 Kårehamn 14;Kårehamn H5e 112/80 130807;11000;4913 12119 8741 8741 99;1 1650 97 0;;;;;;;;;;;;
3075;Vestas;1902 Kårehamn 15;Kårehamn H5b 112/80 130807;11000;4913 12119 8711 8711 97;8 1653 97 5;;;;;;;;;;;;
3075;Vestas;1903 Kårehamn 16;Kårehamn H5b 112/80 130807;11000;4913 12119 9100 9100 99;4 1670 96 12;;;;;;;;;;;;
3075;Vestas;1962 Skaveröd-Gurseröd 1;Tanu A9f 112/100 140901;8550;4799 4799 100 1263 0;;;;;;;;;;;;;
3075;Vestas;1963 Skaveröd-Gurseröd 2;Tanu A9f 112/100 140901;8550;4425 4425 100 1208 0;;;;;;;;;;;;;
3075;Vestas;1964 Skaveröd-Gurseröd 3;Tanu A9f 112/100 140901;8550;4640 4640 100 1258 0;;;;;;;;;;;;;
3075;Vestas;1965 Skaveröd-Gurseröd 4;Tanu A9f 112/100 140901;8550;4475 4475 100 1153 0;;;;;;;;;;;;;
3075;Vestas;1966 Skaveröd-Gurseröd 5;Tanu A9f 112/100 140901;8550;4688 4688 100 1236 0;;;;;;;;;;;;;
3075;Vestas;1967 Skaveröd-Gurseröd 6;Tanu A9f 112/100 140901;8550;4774 4774 100 1258 0;;;;;;;;;;;;;
3075;Vestas;1968 Skaveröd-Gurseröd 7;Tanu A9f 112/100 140901;8550;4370 4370 100 1117 0;;;;;;;;;;;;;
3075;Vestas;1969 Skaveröd-Gurseröd 8;Tanu A9f 112/100 140901;8550;5034 5034 100 1290 0;;;;;;;;;;;;;
